price,m2_price,square,rooms,district,micro_district,building_type,condition,floor/floors
105000,1082,97,3,1,3,2,7,0.08333333333333333
50000,1163,43,1,1,2,1,5,0.3888888888888889
63700,838,76,2,0,0,2,3,0.5
75000,1667,45,2,1,0,1,7,0.75
119000,1133,105,3,1,0,2,3,0.375
150000,1250,120,3,0,2,2,7,0.9230769230769231
82000,1242,66,2,1,2,2,7,1.0
41000,1108,37,1,1,1,2,7,0.75
38000,819,46,1,1,1,3,7,0.2
60000,1176,51,2,2,2,3,7,0.4
145000,863,168,4,3,4,1,7,0.2
49000,875,56,2,1,0,2,3,0.4444444444444444
75000,882,85,3,2,4,1,5,1.0
53000,1325,40,1,1,0,1,7,0.1
97000,1347,72,2,2,2,1,7,0.3333333333333333
104000,825,126,4,3,3,1,7,0.4444444444444444
45000,750,60,2,2,2,2,3,0.21428571428571427
38844,900,43,1,1,0,2,3,0.4166666666666667
54000,900,60,2,0,1,1,7,1.0
35500,612,58,2,1,0,2,3,0.3
20000,556,36,1,0,1,2,0,0.5555555555555556
60000,857,70,3,2,1,1,7,1.0
60000,923,65,4,2,3,1,4,0.6666666666666666
65000,844,77,2,2,1,2,7,0.4166666666666667
118000,1372,86,2,2,3,2,7,0.8333333333333334
52560,730,72,2,1,4,2,3,0.2
147000,1176,125,3,1,0,1,5,0.4166666666666667
66000,1535,43,2,3,0,2,5,0.8
61000,1052,58,3,0,1,3,5,1.0
48800,1356,36,1,1,4,3,4,0.6666666666666666
16500,917,18,1,0,1,1,4,0.6
49800,1158,43,2,1,0,3,4,0.5
15000,909,16,1,1,1,1,4,0.4
87000,1006,86,3,2,2,2,7,0.5
190000,868,219,4,1,2,2,7,0.875
98500,1026,96,5,2,4,1,5,0.6666666666666666
86000,1147,75,3,0,0,1,5,0.2
87000,1088,80,2,2,3,2,5,0.7
36000,1125,32,1,2,0,1,5,0.6666666666666666
50500,1174,43,2,1,2,3,4,0.75
186500,1776,105,4,1,0,2,7,0.4166666666666667
155000,1703,91,3,3,0,2,7,0.7
